city,county,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,percent,round2007,round2015
Algona,King,278800,268000,228400,210100,181400,166700,174400,208800,217500,-22.0%,279,218
Arlington,Snohomish,323500,306900,277300,254300,233100,217800,247800,263300,284300,-12.1%,324,284
Auburn,King,310000,300000,263600,244000,209800,196700,210700,242500,262800,-15.2%,310,263
Bellevue,King,573000,562500,494200,465300,440800,443000,503500,564900,614300,7.2%,573,614
Black Diamond,King,360700,342100,307600,287200,256300,250400,268800,295800,325800,-9.7%,361,326
Bonney Lake,Pierce,340700,321500,293400,271400,252000,234700,249700,282000,288200,-15.4%,341,288
Bothell,King,421400,409700,362500,341700,306500,306600,342000,389200,421700,0.1%,421,422
Brier,Snohomish,420400,412500,362000,335900,318100,309100,345000,392800,417300,-0.7%,420,417
Bryn Mawr-Skyway,King,351800,330200,295400,263400,229400,219200,236900,273500,292500,-16.9%,352,293
Buckley,Pierce,331600,314900,282600,265200,238900,223400,237000,253600,270800,-18.3%,332,271
Burien,King,338300,327600,291700,268000,229200,216900,239900,273300,295300,-12.7%,338,295
Carnation,King,478100,441900,423100,387200,360200,328700,377800,411500,454100,-5.0%,478,454
Clyde Hill,King,1450200,1455700,1357500,1238300,1166500,1146600,1287300,1498000,1788800,23.3%,1450,1789
Covington,King,322200,300100,267400,246000,217000,206900,232000,256100,276900,-14.1%,322,277
Darrington,Snohomish,198200,187700,177200,160100,154000,130400,159200,154700,173800,-12.3%,198,174
Des Moines,King,313200,299200,265400,246700,219000,197000,213300,246900,263300,-15.9%,313,263
Dupont,Pierce,312000,286900,271700,279400,261700,266200,284500,296000,288800,-7.4%,312,289
Duvall,King,466600,444100,407300,386500,349600,325300,351200,417200,447100,-4.2%,467,447
East Hill-Meridian,King,345100,322200,274600,254800,229900,215700,238500,269000,289700,-16.1%,345,290
Eatonville,Pierce,339900,312200,285000,268800,246800,239200,252400,266500,274000,-19.4%,340,274
Edgewood,Pierce,374700,360000,329300,300500,278000,259600,276300,308800,312400,-16.6%,375,312
